trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
139,False,"{'a': 0.5, 'e': 0.2490753046316692}",30,10,22.9940580270473,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.24659696394160752}",25,15,-1.1842648975411296,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.24414328315343808}",30,11,30.242159837336647,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.24171401689703748}",30,11,20.11073505891538,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.23930892224375555}",20,2,16.42853762639773,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.2369277586821228}",25,19,-0.6114947681105845,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.23457028809379865}",30,8,-63.3788966415025,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 2}",1
146,False,"{'a': 0.5, 'e': 0.2322362747297598}",20,9,8.100194564661866,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.22992548518672484}",25,13,14.810067624327132,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.2276376883838138}",25,13,-19.861606873407894,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
149,False,"{'a': 0.5, 'e': 0.22537265553943975}",20,0,14.465584758668493,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
150,False,"{'a': 0.5, 'e': 0.22313016014843082}",30,18,10.351422707855125,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.22090997795937922}",30,23,10.750434073716269,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.2187118869522158}",20,16,5.908132431907646,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.2165356673160081}",20,6,20.868093566046525,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.21438110142697897}",20,9,2.600797992296801,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.21224797382674412}",20,11,5.787238347703195,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.21013607120076583}",20,7,-8.400235032346338,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.20804518235702163}",20,13,11.42180059564165,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.2059750982048846}",30,18,6.1575746414861365,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.20392561173421458}",25,17,9.96265892052989,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.20189651799465655}",20,1,5.874659585535489,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.19988761407514566}",25,7,7.208422403903327,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.19789869908361588}",20,16,8.269608888589039,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.19592957412691062}",30,12,8.399586530856686,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.1939800422908932}",25,12,22.652056805675734,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.19204990862075544}",25,11,-17.883851217266418,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
166,False,"{'a': 0.5, 'e': 0.19013898010152183}",25,16,13.677902906947434,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.18824706563874807}",30,16,24.475126581106935,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.18637397603941125}",25,16,14.6343053286268,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
